"year","station_name","station_long","station_lat","high","low","total_rainfall"
1978,"Aberporth",-4.56999,52.13914,16.3,1.5,734.6
1978,"Armagh",-6.64866,54.35234,18.1,0.4,773.7
1978,"Ballypatrick Forest",-6.15336,55.18062,15.6,0.5,0
1978,"Bradford",-1.77234,53.81341,17.7,-0.9,869.8
1978,"Braemar",-3.39635,57.00612,16.6,-8.4,923.9
1978,"Camborne",-5.32656,50.21782,17.5,5,380.1
1978,"Cambridge NIAB",0.10196,52.24501,20.2,-0.7,556
1978,"Cardiff Bute Park",-3.18728,51.48783,19.6,0.9,1012.3
1978,"Dunstaffnage",-5.43859,56.45054,16.5,-0.1,1420.6
1978,"Durham",-1.58455,54.76786,17.8,-2,747.9
1978,"Eastbourne",0.28543,50.76167,18.8,1.9,667.8
1978,"Eskdalemuir",-3.206,55.311,17,-3.1,1437.5
1978,"Heathrow",-0.44904,51.47872,20.7,0.7,585.2
1978,"Hurn",-1.83483,50.7789,19.8,0.1,797
1978,"Lerwick",-1.18299,60.13946,13.4,-0.6,1041.8
1978,"Leuchars",-2.86051,56.37745,17.9,-3.4,798.5
1978,"Lowestoft",1.72679,52.48323,18.9,0.1,536.1
1978,"Manston",1.33716,51.34597,20,0.8,440.1
1978,"Nairn",-3.82097,57.593,16.2,-3.8,642.2
1978,"Newton Rigg",-2.78644,54.6699,17.5,-1.7,926.8
1978,"Oxford",-1.2625,51.76073,20.2,0.4,576.8
1978,"Paisley",-4.42966,55.8455,18.3,-0.9,1161.9
1978,"Ross-on-Wye",-2.58441,51.91075,19.8,0,661.7
1978,"Shawbury",-2.66329,52.79433,18.6,-1,611.6
1978,"Sheffield",-1.48986,53.38101,18.6,-0.5,823.9
1978,"Stornoway Airport",-6.31772,58.21382,14.7,0,1154.8
1978,"Sutton Bonington",-1.25,52.8331,19.1,-1.3,614.4
1978,"Tiree",-6.8796,56.49999,15.4,1.2,1104
1978,"Valley",-4.53524,53.25238,16.8,1.9,755.4
1978,"Waddington",-0.52173,53.17509,18.8,-1.2,684
1978,"Whitby",-0.62411,54.48073,NA,-0.7,673.1
1978,"Wick Airport",-3.0884,58.45406,14.8,-1.6,739.9
1978,"Yeovilton",-2.64148,51.00586,20.1,-0.1,700
1979,"Aberporth",-4.56999,52.13914,17.6,-0.4,975.6
1979,"Armagh",-6.64866,54.35234,19.1,-2.3,865.3
1979,"Ballypatrick Forest",-6.15336,55.18062,16.1,-1.8,0
1979,"Bradford",-1.77234,53.81341,18.9,-3.7,978.8
1979,"Braemar",-3.39635,57.00612,17.8,-7.4,916
1979,"Camborne",-5.32656,50.21782,18.2,0.9,1189.4
1979,"Cambridge NIAB",0.10196,52.24501,21.8,-3,628.3
1979,"Cardiff Bute Park",-3.18728,51.48783,21.1,-2.9,1100.9
1979,"Dunstaffnage",-5.43859,56.45054,16.6,-2.1,1720
1979,"Durham",-1.58455,54.76786,19.6,-3.5,783.1
1979,"Eastbourne",0.28543,50.76167,20,-0.2,823.8
1979,"Eskdalemuir",-3.206,55.311,16.6,-5.7,1647.8
1979,"Heathrow",-0.44904,51.47872,22.5,-2.6,684.5
1979,"Hurn",-1.83483,50.7789,22.1,-3.9,804.4
1979,"Lerwick",-1.18299,60.13946,13.3,-1.4,1550.8
1979,"Leuchars",-2.86051,56.37745,19.9,-3.5,644.1
1979,"Lowestoft",1.72679,52.48323,20.1,-2.4,611.3
1979,"Manston",1.33716,51.34597,21.1,-2.2,572.5
1979,"Nairn",-3.82097,57.593,17.9,-3.7,588.8
1979,"Newton Rigg",-2.78644,54.6699,18.3,-4.7,965.5
1979,"Oxford",-1.2625,51.76073,22.5,-3.1,751.9
1979,"Paisley",-4.42966,55.8455,17.9,-2.6,1238.1
1979,"Ross-on-Wye",-2.58441,51.91075,21.8,-3.4,757.1
1979,"Shawbury",-2.66329,52.79433,20.3,-4.6,751.7
1979,"Sheffield",-1.48986,53.38101,20.4,-2.4,960.4
1979,"Stornoway Airport",-6.31772,58.21382,14.6,-1.5,1210.5
1979,"Sutton Bonington",-1.25,52.8331,21,-4.7,626.3
1979,"Tiree",-6.8796,56.49999,15.3,0.1,1295.3
1979,"Valley",-4.53524,53.25238,17.8,0.7,933.4
1979,"Waddington",-0.52173,53.17509,20.9,-3.6,672.9
1979,"Whitby",-0.62411,54.48073,18.4,-2.2,660.8
1979,"Wick Airport",-3.0884,58.45406,15.2,-2.1,935
1979,"Yeovilton",-2.64148,51.00586,21.6,-4.2,886.7
1980,"Aberporth",-4.56999,52.13914,17.7,1,827.3
1980,"Armagh",-6.64866,54.35234,19.2,-0.4,848.3
1980,"Ballypatrick Forest",-6.15336,55.18062,NA,0.9,0
1980,"Bradford",-1.77234,53.81341,18.6,-0.4,996.5
1980,"Braemar",-3.39635,57.00612,16.7,-2.9,880
1980,"Camborne",-5.32656,50.21782,18,2,1074.4
1980,"Cambridge NIAB",0.10196,52.24501,21.3,-0.2,491.6
1980,"Cardiff Bute Park",-3.18728,51.48783,20,-0.8,1195.7
1980,"Dunstaffnage",-5.43859,56.45054,17.1,0.7,1624.2
1980,"Durham",-1.58455,54.76786,18.9,-0.1,808.7
1980,"Eastbourne",0.28543,50.76167,19.7,1.9,952.4
1980,"Eskdalemuir",-3.206,55.311,16.7,-2.3,1626.9
1980,"Heathrow",-0.44904,51.47872,21.9,-0.1,588.1
1980,"Hurn",-1.83483,50.7789,20.8,-2.3,787.8
1980,"Lerwick",-1.18299,60.13946,14.2,0.9,1072.7
1980,"Leuchars",-2.86051,56.37745,18.2,-0.3,737.3
1980,"Lowestoft",1.72679,52.48323,20.1,0.7,563.6
1980,"Manston",1.33716,51.34597,20.9,0.4,516.4
1980,"Nairn",-3.82097,57.593,17.6,-0.2,770.4
1980,"Newton Rigg",-2.78644,54.6699,17.8,-1.8,916
1980,"Oxford",-1.2625,51.76073,21.2,-0.3,634.3
1980,"Paisley",-4.42966,55.8455,18,-0.1,1158.4
1980,"Ross-on-Wye",-2.58441,51.91075,20.6,-0.7,682.7
1980,"Shawbury",-2.66329,52.79433,19.7,-1.3,754.2
1980,"Sheffield",-1.48986,53.38101,19.8,0.4,877.8
1980,"Stornoway Airport",-6.31772,58.21382,15.5,1.9,1222.8
1980,"Sutton Bonington",-1.25,52.8331,20.1,-1,673.4
1980,"Tiree",-6.8796,56.49999,16.1,2.5,1286.3
1980,"Valley",-4.53524,53.25238,17.8,1.7,903.7
1980,"Waddington",-0.52173,53.17509,19.8,-0.8,742.8
1980,"Whitby",-0.62411,54.48073,NA,0.5,632.2
1980,"Wick Airport",-3.0884,58.45406,15,1.5,872
1980,"Yeovilton",-2.64148,51.00586,20.6,-2,779.2
1981,"Aberporth",-4.56999,52.13914,18.4,0.6,942.5
1981,"Armagh",-6.64866,54.35234,20,-1.1,923.1
1981,"Ballypatrick Forest",-6.15336,55.18062,17.2,-0.9,0
1981,"Bradford",-1.77234,53.81341,19.3,-4.2,919.8
1981,"Braemar",-3.39635,57.00612,18.7,-7.2,837
1981,"Camborne",-5.32656,50.21782,19.5,2.8,1154
1981,"Cambridge NIAB",0.10196,52.24501,21.7,-2.7,570.5
1981,"Cardiff Bute Park",-3.18728,51.48783,22.1,-0.3,1153.1
1981,"Dunstaffnage",-5.43859,56.45054,17.5,-0.8,1529.9
1981,"Durham",-1.58455,54.76786,20.3,-3.3,693.3
1981,"Eastbourne",0.28543,50.76167,20.9,1.4,865.7
1981,"Eskdalemuir",-3.206,55.311,18,-6.4,1637.8
1981,"Heathrow",-0.44904,51.47872,22.8,-1.5,679.6
1981,"Hurn",-1.83483,50.7789,22.5,-1.6,865.6
1981,"Lerwick",-1.18299,60.13946,14.1,-1.5,1404.1
1981,"Leuchars",-2.86051,56.37745,19.7,-3.2,642.7
1981,"Lowestoft",1.72679,52.48323,19.9,-0.7,629
1981,"Manston",1.33716,51.34597,21.1,0.1,597.6
1981,"Nairn",-3.82097,57.593,18.7,-3.5,567.7
1981,"Newton Rigg",-2.78644,54.6699,19.4,-4.4,964.7
1981,"Oxford",-1.2625,51.76073,22.2,-2,682.9
1981,"Paisley",-4.42966,55.8455,19.3,-3.5,1236.5
1981,"Ross-on-Wye",-2.58441,51.91075,22.6,-2.3,767.3
1981,"Shawbury",-2.66329,52.79433,20.9,-4.9,675.3
1981,"Sheffield",-1.48986,53.38101,20.5,-2.3,940.6
1981,"Stornoway Airport",-6.31772,58.21382,15.8,0.2,1346.9
1981,"Sutton Bonington",-1.25,52.8331,20.8,-3.9,600.1
1981,"Tiree",-6.8796,56.49999,16.1,1.4,1192.3
1981,"Valley",-4.53524,53.25238,18.9,0.3,901.7
1981,"Waddington",-0.52173,53.17509,20.7,-3.4,680.4
1981,"Whitby",-0.62411,54.48073,NA,NA,588.1
1981,"Wick Airport",-3.0884,58.45406,15.9,-1.7,945.1
1981,"Yeovilton",-2.64148,51.00586,21.9,-1.2,728.3
1982,"Aberporth",-4.56999,52.13914,17.9,2.5,917.6
1982,"Armagh",-6.64866,54.35234,20.7,0.9,862.1
1982,"Ballypatrick Forest",-6.15336,55.18062,17.3,0.4,0
1982,"Bradford",-1.77234,53.81341,19.6,-0.9,870.8
1982,"Braemar",-3.39635,57.00612,20.2,-5.5,1311.1
1982,"Camborne",-5.32656,50.21782,18.9,4.1,1204.6
1982,"Cambridge NIAB",0.10196,52.24501,21.8,-1.1,686.5
1982,"Cardiff Bute Park",-3.18728,51.48783,21.6,0.9,1166.6
1982,"Dunstaffnage",-5.43859,56.45054,18.8,1.3,1846.1
1982,"Durham",-1.58455,54.76786,19.3,-2.1,585.1
1982,"Eastbourne",0.28543,50.76167,21.4,2.7,853.9
1982,"Eskdalemuir",-3.206,55.311,19.1,-3,1906.8
1982,"Heathrow",-0.44904,51.47872,22.7,0.4,649.8
1982,"Hurn",-1.83483,50.7789,22,0.9,978.6
1982,"Lerwick",-1.18299,60.13946,14.5,0.8,1215.3
1982,"Leuchars",-2.86051,56.37745,18.9,-2.2,718.4
1982,"Lowestoft",1.72679,52.48323,20.8,0.7,621.3
1982,"Manston",1.33716,51.34597,21.6,1.4,539.2
1982,"Nairn",-3.82097,57.593,19.7,-0.9,579.1
1982,"Newton Rigg",-2.78644,54.6699,20.4,-0.9,1035.6
1982,"Oxford",-1.2625,51.76073,22,-0.1,654.5
1982,"Paisley",-4.42966,55.8455,21.3,-0.3,1342.7
1982,"Ross-on-Wye",-2.58441,51.91075,21.6,-0.4,785.6
1982,"Shawbury",-2.66329,52.79433,20.6,-2.5,720.3
1982,"Sheffield",-1.48986,53.38101,20.9,-0.3,831.8
1982,"Stornoway Airport",-6.31772,58.21382,17,1.8,1413
1982,"Sutton Bonington",-1.25,52.8331,21.3,-1.2,679.7
1982,"Tiree",-6.8796,56.49999,17,2.8,1369.7
1982,"Valley",-4.53524,53.25238,20.1,2,835.8
1982,"Waddington",-0.52173,53.17509,20.7,-1.2,602.2
1982,"Whitby",-0.62411,54.48073,18,-0.4,566.4
1982,"Wick Airport",-3.0884,58.45406,16.7,0.1,840.8
1982,"Yeovilton",-2.64148,51.00586,21.7,0.7,790.1
1983,"Aberporth",-4.56999,52.13914,20.7,0.5,821.7
1983,"Armagh",-6.64866,54.35234,23.3,0,705.1
1983,"Ballypatrick Forest",-6.15336,55.18062,19.2,0,0
1983,"Bradford",-1.77234,53.81341,22.8,-1.3,1009.5
1983,"Braemar",-3.39635,57.00612,21.2,-4.8,947.3
1983,"Camborne",-5.32656,50.21782,21.7,1.9,952.9
1983,"Cambridge NIAB",0.10196,52.24501,25.8,-1,580.1
1983,"Cardiff Bute Park",-3.18728,51.48783,25.9,0.3,1063.4
1983,"Dunstaffnage",-5.43859,56.45054,19.6,0.2,1600.3
1983,"Durham",-1.58455,54.76786,22.9,-1.2,675.4
1983,"Eastbourne",0.28543,50.76167,22.9,1.3,725.1
1983,"Eskdalemuir",-3.206,55.311,21.7,-2.9,1560.5
1983,"Heathrow",-0.44904,51.47872,27.6,-0.5,535
1983,"Hurn",-1.83483,50.7789,25.8,-0.9,749.3
1983,"Lerwick",-1.18299,60.13946,14.2,0.5,1318.1
1983,"Leuchars",-2.86051,56.37745,20.5,-1.3,594.9
1983,"Lowestoft",1.72679,52.48323,21.3,0.4,533
1983,"Manston",1.33716,51.34597,23.2,0.1,505.1
1983,"Nairn",-3.82097,57.593,19.7,-1.7,476.5
1983,"Newton Rigg",-2.78644,54.6699,22.5,-1.7,887.4
1983,"Oxford",-1.2625,51.76073,26.8,-0.7,577.7
1983,"Paisley",-4.42966,55.8455,21.9,-0.4,1173.6
1983,"Ross-on-Wye",-2.58441,51.91075,26.7,-0.7,634.4
1983,"Shawbury",-2.66329,52.79433,24.8,-2,554.9
1983,"Sheffield",-1.48986,53.38101,24.5,-0.8,906.2
1983,"Stornoway Airport",-6.31772,58.21382,17.2,0,1259.2
1983,"Sutton Bonington",-1.25,52.8331,25,-1.4,547.8
1983,"Tiree",-6.8796,56.49999,17.9,1.3,1075.5
1983,"Valley",-4.53524,53.25238,22.2,0.4,805.2
1983,"Waddington",-0.52173,53.17509,24.5,-1.2,599.9
1983,"Whitby",-0.62411,54.48073,19.4,-0.5,546.1
1983,"Wick Airport",-3.0884,58.45406,16.7,-0.6,726.6
1983,"Yeovilton",-2.64148,51.00586,26.6,-0.2,577.3
1984,"Aberporth",-4.56999,52.13914,19.9,2.2,852.7
1984,"Armagh",-6.64866,54.35234,21.1,-0.4,837.7
1984,"Ballypatrick Forest",-6.15336,55.18062,17.8,-0.6,0
1984,"Bradford",-1.77234,53.81341,21.5,0,884.8
1984,"Braemar",-3.39635,57.00612,20.1,-4.9,1052.6
1984,"Camborne",-5.32656,50.21782,20.3,3,1046.6
1984,"Cambridge NIAB",0.10196,52.24501,23.6,0.6,634.3
1984,"Cardiff Bute Park",-3.18728,51.48783,23.3,1.6,1101.7
1984,"Dunstaffnage",-5.43859,56.45054,19.5,0.6,1564.8
1984,"Durham",-1.58455,54.76786,21.2,-0.5,615.4
1984,"Eastbourne",0.28543,50.76167,20.8,3.1,907.9
1984,"Eskdalemuir",-3.206,55.311,20.4,-2.2,1410.6
1984,"Heathrow",-0.44904,51.47872,24.4,1.3,641.7
1984,"Hurn",-1.83483,50.7789,23.2,0.8,793.5
1984,"Lerwick",-1.18299,60.13946,15.4,-0.8,1090.2
1984,"Leuchars",-2.86051,56.37745,20.4,-1.4,723.1
1984,"Lowestoft",1.72679,52.48323,20.4,0.7,616.9
1984,"Manston",1.33716,51.34597,22.3,1.3,564.1
1984,"Nairn",-3.82097,57.593,19.8,-2.5,532.8
1984,"Newton Rigg",-2.78644,54.6699,21.3,-0.8,892.9
1984,"Oxford",-1.2625,51.76073,23.9,1,608.7
1984,"Paisley",-4.42966,55.8455,22.1,-0.3,1103.1
1984,"Ross-on-Wye",-2.58441,51.91075,23.9,0.8,662.8
1984,"Shawbury",-2.66329,52.79433,22.8,-0.1,653
1984,"Sheffield",-1.48986,53.38101,22.5,0.6,866.5
1984,"Stornoway Airport",-6.31772,58.21382,17.4,-0.4,1072.3
1984,"Sutton Bonington",-1.25,52.8331,22.7,0.4,648.2
1984,"Tiree",-6.8796,56.49999,17.8,0.9,1256.6
1984,"Valley",-4.53524,53.25238,21.5,2.4,896.5
1984,"Waddington",-0.52173,53.17509,22.2,-0.2,661
1984,"Whitby",-0.62411,54.48073,18.5,1,600.9
1984,"Wick Airport",-3.0884,58.45406,17.4,-1.9,912.3
1984,"Yeovilton",-2.64148,51.00586,23.3,1,612.2
1985,"Aberporth",-4.56999,52.13914,17.4,-0.3,871
1985,"Armagh",-6.64866,54.35234,18.8,-2.2,764.4
1985,"Ballypatrick Forest",-6.15336,55.18062,16.2,-1.1,0
1985,"Bradford",-1.77234,53.81341,19.1,-1.7,721.7
1985,"Braemar",-3.39635,57.00612,16.6,-4.9,988.3
1985,"Camborne",-5.32656,50.21782,18.3,0.8,1072
1985,"Cambridge NIAB",0.10196,52.24501,21.8,-2.2,513.7
1985,"Cardiff Bute Park",-3.18728,51.48783,21.2,-1.5,1161
1985,"Dunstaffnage",-5.43859,56.45054,16.6,-1.1,1547.6
1985,"Durham",-1.58455,54.76786,19,-1.5,645.9
1985,"Eastbourne",0.28543,50.76167,19.9,-0.9,649.6
1985,"Eskdalemuir",-3.206,55.311,16.4,-3.1,1873.2
1985,"Heathrow",-0.44904,51.47872,22.9,-1.8,526.3
1985,"Hurn",-1.83483,50.7789,22,-3.4,722.4
1985,"Lerwick",-1.18299,60.13946,14.6,-0.3,1087.3
1985,"Leuchars",-2.86051,56.37745,17.8,-1.2,863.8
1985,"Lowestoft",1.72679,52.48323,20.7,-2,654.5
1985,"Manston",1.33716,51.34597,21.3,-2.4,528.2
1985,"Nairn",-3.82097,57.593,17.9,-1.4,590.6
1985,"Newton Rigg",-2.78644,54.6699,18.5,-1.9,909.6
1985,"Oxford",-1.2625,51.76073,21.6,-1.9,662
1985,"Paisley",-4.42966,55.8455,18,-1.2,1339.6
1985,"Ross-on-Wye",-2.58441,51.91075,21.1,-2.2,718.5
1985,"Shawbury",-2.66329,52.79433,20.1,-2.6,664.8
1985,"Sheffield",-1.48986,53.38101,20.4,-0.8,674.1
1985,"Stornoway Airport",-6.31772,58.21382,15.6,0.7,1241.2
1985,"Sutton Bonington",-1.25,52.8331,20.4,-2.2,594.5
1985,"Tiree",-6.8796,56.49999,15.5,0.2,1278.5
1985,"Valley",-4.53524,53.25238,17.9,-0.4,870
1985,"Waddington",-0.52173,53.17509,20.2,-1.9,610.5
1985,"Whitby",-0.62411,54.48073,NA,NA,594.2
