"year","season","high","low","average_max","average_min"
1865,"Autumn",22.6,3.1,15.5777777777778,7.5
1865,"Summer",22.3,10.8,20.9888888888889,11.6555555555556
1866,"Autumn",17,3.7,13.8,7.3
1866,"Spring",15.7,1.7,12.2555555555556,4.13333333333333
1866,"Summer",21.9,10.5,20.2222222222222,11.4111111111111
1866,"Winter",9.9,0.9,8.82222222222222,2.86666666666667
1867,"Autumn",18.8,1.6,13.4666666666667,6.33333333333333
1867,"Spring",16.8,0.5,12.0777777777778,4.84444444444444
1867,"Summer",21.5,9.6,20.1,11.0777777777778
1867,"Winter",10.4,-2.2,7.21111111111111,1.33333333333333
1868,"Autumn",20.6,2.2,13.3333333333333,5.94444444444444
1868,"Spring",20.4,2.9,14.6,5.68888888888889
1868,"Summer",25.9,9.4,22.6,11.9555555555556
1868,"Winter",11,1,8.82222222222222,3.38888888888889
1869,"Autumn",19,3.1,14.2222222222222,7.07777777777778
1869,"Spring",16,1.1,12.3111111111111,4.53333333333333
1869,"Summer",24.1,8.8,20.7444444444444,10.7555555555556
1869,"Winter",11,-0.5,8.34444444444444,3.05555555555556
1870,"Autumn",18.6,2.1,13.7222222222222,6.13333333333333
1870,"Spring",18,1.5,13.6666666666667,4.3
1870,"Summer",24.9,10.5,22.0777777777778,11.6666666666667
1870,"Winter",6.9,-2.3,5.35555555555556,0.144444444444445
1871,"Autumn",18.5,0.2,12.9777777777778,5.82222222222222
1871,"Spring",17.4,3.2,14.0888888888889,5.21111111111111
1871,"Summer",23.8,9,20.2444444444444,11.1777777777778
1871,"Winter",10.2,-1.2,6.53333333333333,1.46666666666667
1872,"Autumn",18.4,2.8,13.3666666666667,6.5
1872,"Spring",15.2,3.6,13.1,4.93333333333333
1872,"Summer",23.7,9.5,20.7666666666667,11.5666666666667
1872,"Winter",10.1,1.5,8.72222222222222,3.42222222222222
1873,"Autumn",17.2,2.1,12.2166666666667,5.2
1873,"Spring",16.1,2.1,12.8111111111111,4.24444444444444
1873,"Summer",22.6,8.9,19.7363636363636,11.2818181818182
1873,"Winter",9.9,-0.4,7.33,2.11
1874,"Autumn",18.6,2.5,12.8916666666667,6.375
1874,"Spring",16.1,3.1,13.0583333333333,4.81666666666667
1874,"Summer",25.3,7.6,19.9083333333333,10.4666666666667
1874,"Winter",9.3,-2.3,6.69166666666667,0.816666666666667
1875,"Autumn",20.3,1.4,12.9,6.6
1875,"Spring",18.3,1.8,12.7416666666667,4.56666666666667
1875,"Summer",21.9,6.4,18.9833333333333,10.4583333333333
1875,"Winter",9.7,-0.4,6.95833333333333,1.98333333333333
1876,"Autumn",17.4,3.2,13.0333333333333,7.18333333333333
1876,"Spring",15.7,-0.2,11.45,3.53333333333333
1876,"Summer",24.5,8.4,20.3083333333333,10.925
1876,"Winter",9.3,-0.4,7.475,2.375
1877,"Autumn",16.3,1.6,12.75,5.50833333333333
1877,"Spring",14.5,0.4,10.8833333333333,3.55
1877,"Summer",22.2,7.6,18.9833333333333,10.5916666666667
1877,"Winter",9.9,0,8.23333333333333,2.475
1878,"Autumn",18.1,-0.3,12.375,6.125
1878,"Spring",17.7,1.5,12.5,5.15833333333333
1878,"Summer",22.3,8.5,19.8416666666667,11.7083333333333
1878,"Winter",9.6,-4.2,6.50833333333333,1.25
1879,"Autumn",17.7,0.9,11.775,5.45833333333333
1879,"Spring",14.4,0.1,10.025,2.925
1879,"Summer",19.2,8,16.875,10.5083333333333
1879,"Winter",6.7,-3.2,4.58333333333333,-0.608333333333333
1880,"Autumn",19.9,0.1,12.48,5.46666666666667
1880,"Spring",17.8,1,12.48,4.09333333333333
1880,"Summer",22.6,7.7,18.6133333333333,10.88
1881,"Autumn",18.3,3.6,12.88,6.41333333333333
1881,"Spring",18.1,-0.6,11.96,3.48666666666667
1881,"Summer",23.8,6.8,18.0933333333333,9.87333333333333
1881,"Winter",8,-5.7,4.91333333333333,-0.42
1882,"Autumn",18,1.7,12.3333333333333,5.71333333333333
1882,"Spring",17.4,2.1,12.8,4.57333333333333
1882,"Summer",20.6,7.8,17.9933333333333,10.36
1882,"Winter",9.7,-0.6,7.52,2.47333333333333
1883,"Autumn",18.2,2.2,12.6555555555556,6.22222222222222
1883,"Spring",16.4,-2.3,11.0333333333333,2.78333333333333
1883,"Summer",21.5,7.5,18.1666666666667,10.0388888888889
1884,"Autumn",19.9,1.9,13.1,6.27222222222222
1884,"Spring",17.8,1.7,12.0722222222222,3.92222222222222
1884,"Summer",24.2,7.3,19.7333333333333,10.5333333333333
1884,"Winter",9.6,0.8,7.74444444444444,2.65
1885,"Autumn",17.7,2.4,11.65,5.08888888888889
1885,"Spring",14.4,-0.1,10.9666666666667,2.85555555555556
1885,"Summer",23.4,6.8,18.7277777777778,9.48333333333333
1885,"Winter",10,-0.1,6.85,1.5
1886,"Autumn",19.8,2.5,13.5388888888889,6.81666666666667
1886,"Spring",16.1,-0.1,10.8055555555556,3.21666666666667
1886,"Summer",22.5,7,19,10.1166666666667
1886,"Winter",6.8,-1.8,4.82222222222222,-0.505555555555556
1887,"Autumn",17.6,1.5,11.3,4.58333333333333
1887,"Spring",15.6,-0.5,10.6888888888889,2.72777777777778
1887,"Summer",24.6,8.7,20.8722222222222,10.5388888888889
1887,"Winter",8.5,-1.1,6.39444444444444,0.538888888888889
1888,"Autumn",18.9,3.5,12.8111111111111,5.84444444444444
1888,"Spring",16.9,-0.5,10.3222222222222,2.87777777777778
1888,"Summer",19.4,6,16.9777777777778,9.16111111111111
1888,"Winter",9.2,-0.7,6.44444444444444,1.21666666666667
1889,"Autumn",19.2,2.6,12.6611111111111,6.06111111111111
1889,"Spring",18.3,0.3,11.7611111111111,4.4
1889,"Summer",22.1,7.8,18.8388888888889,10.2111111111111
1889,"Winter",8.3,-0.5,6.52777777777778,0.95
1890,"Autumn",20.6,1.1,13.8888888888889,6.41666666666667
1890,"Spring",18.1,1.3,12.2888888888889,4.08333333333333
1890,"Summer",20.8,7.9,17.8555555555556,9.83333333333333
1890,"Winter",9.8,-4,6.02777777777778,0.761111111111111
1891,"Autumn",19.4,1.7,12.9111111111111,6.05555555555556
1891,"Spring",16,-1.4,10.2055555555556,2.32222222222222
1891,"Summer",21.6,7.9,18.2333333333333,10.25
1891,"Winter",10.1,-1.9,7.28333333333333,0.672222222222222
1892,"Autumn",18.4,2.4,11.8777777777778,5.09444444444444
1892,"Spring",18.3,-1.9,11.6333333333333,2.39444444444444
1892,"Summer",21.6,6.3,17.8555555555556,9.49444444444445
